question,act,retrieved_act,section,similarity,answer_text,doc_id
What constitutes taxable income in Kenya?,Income Tax Act,Income Tax Act,7 – Income from dividends,0.763622329,"Kenya through a permanent establishment shall pay tax on repatriated income for the year of income. (2) The repatriated income under subsection (1) shall be computed using the following formula– R=A1 + (P - T) – A2 Where– R is the repatriated profit; A1 is the net assets at the beginning of the year; P is the net profit for the year of income calculated in accordance with generally accepted accounting principles; T is the tax payable on the chargeable income; and A2 is the net assets at the end of the year. (3) The tax imposed under this section shall be in addition to tax chargeable on the income of the permanent establishment under section 4. (4) For the purposes this section, “net assets” means the total book value of assets less total liabilities for the year of income and shall not include revaluation of assets. [Act No. 4 of 2023, s. 6]",dc69671940d0d2df8d077bdcb75b0f5d0378876064ff129d65cea12e26496c34
What are allowable deductions under the Income Tax Act?,Income Tax Act,Income Tax Act,16 – Deductions not allowed,0.704230547,"(1) Save as otherwise expressly provided, for the purposes of ascertaining the total income of a person for any year of income, no deduction shall be allowed in respect of– (a) any expenditure or loss which is not wholly and exclusively incurred by him in the production of the income; (b) any capital expenditure, or any loss, diminution or exhaustion of capital; (c) any expenditure or loss where the invoices of the transactions are not generated from an electronic tax invoice management system except where the transactions have been exempted in accordance with the Tax Procedures Act (Cap. 469B). (2) Notwithstanding any other provision of this Act, no deduction shall be allowed in respect of– (a) expenditure incurred by a person in the maintenance of himself, his family or establishment or for any other personal or domestic purpose including the following– (i) entertainment expenses for p...",b5cd6ff8dcc46cd8d958007e01c3e25730c033ea12db2d2e2031d25744fca16b
How is PAYE administered?,Income Tax Act,Income Tax Act,2 – Interpretation,0.620414555,"creation of the loan, claim or other obligation; ""dividend"" means any distribution (whether in cash or property, and whether made before or during a winding up) by a company to its shareholders with respect to their equity interest in the company, other than distributions made in complete liquidation of the company of capital which was originally paid directly into the company in connection with the issuance of equity interests; “donation” means a benefit in money in any form, promissory note or a benefit in kind conferred on a person without any consideration and includes grants; ""due date"" means the date on or before which any tax is due and payable under this Act or pursuant to any notice issued under this Act; ""employer"" includes any resident person responsible for the payment of, or on account of, any emoluments to any employee, and any agent, manager or other representative so resp...",afe18695ecf02d7adb7d4b687a5876a3bcd1370e8ac9aec75598cdf5bc912b66
What are the penalties for late filing of returns?,Income Tax Act,Income Tax Act,52 – Returns of income and notice of chargeability,0.65826124,"in such year of income, has not made a provisional return of income for that year of income within four months of the end of such accounting period, has not been required to make a return of income for such year of income under subsection (1) shall, within fourteen days after the expiration of the period of four months, give notice in writing to the Commissioner that he is so chargeable: Provided that an employee shall not be required to give notice– (i) if he had no income chargeable to tax for such year of income other than from emoluments; and (ii) if the tax payable in respect of those emoluments has been recovered by deduction under section 37 of this Act. (4) Where any business is carried on by two or more persons in partnership, the Commissioner may, by notice in writing, require the precedent resident partner, that is the partner who, of the resident partners– (a) is first named ...",fccd3aa6d7cfcdcb89c42f6ca125091524392cb7e6296d69ce8b6bf0b91e0505
What is the process for tax assessment appeals?,Income Tax Act,Income Tax Act,73 – Assessments,0.653480113,"(1) Save as otherwise provided, the Commissioner shall assess every person who has income chargeable to tax as expeditiously as possible after the expiry of the time allowed to such person under this Act for the delivery of a return of income. (2) Where a person has delivered a return of income, the Commissioner may– (a) (i) accept the return and deem the amount that person has declared as his self assessment in which case no further notification need be given; or (ii) where the return is in respect of a year of income prior to 1992, accept that return and assess him on the basis thereof; (b) if he has reasonable cause to believe that such return is not true and correct, determine, according to the best of his judgment, the amount of the income of that person and assess him accordingly. (3) Where a person has not delivered a return of income for any year of income, whether or not he has ...",56d670db409a7cdea06fe9a8655fc36c72b8f2abf3c188435d1a32a5c95e4f38
What is a registered trade union?,Labour Relations Act,Labour Relations Act,2 – Interpretation,0.743651092,"regulating the recognition of the trade union as the representative of the interests of unionisable employees employed by the employer or by members of an employers’ organisation; ""redundancy"" means the loss of employment, occupation, job or career by involuntary means through no fault of an employee, involving termination of employment at the initiative of the employer, where the services of an employee are superfluous and the practice commonly known as abolition of office, job or occupation and loss of employment; ""registered employers’ organisation"" means an employers’ organisation registered or deemed to be a registered employers’ organisation under this Act; ""registered office"" means the registered head office of a trade union; ""registered trade union"" means a trade union registered or deemed to be registered as a trade union under this Act; ""Registrar"" means the Registrar of Trade ...",33abe48960190b1974757e21a35eb40a50b6448c94fd69bc872c954c9d85f1be
How are collective bargaining agreements enforced?,Labour Relations Act,Labour Relations Act,59 – Effect of collective agreements,0.710715204,"(1) A collective agreement binds for the period of the agreement— (a) the parties to the agreement; (b) all unionisable employees employed by the employer, group of employers or members of the employers’ organisation party to the agreement; or (c) the employers who are or become members of an employers’ organisation party to the agreement, to the extent that the agreement relates to their employees. (2) A collective agreement shall continue to be binding on an employer or employees who were parties to the agreement at the time of its commencement and includes members who have resigned from that trade union or employers’ association. (3) The terms of the collective agreement shall be incorporated into the contract of employment of every employee covered by the collective agreement. (4) A collective agreement shall be in writing and shall be signed by— (a) the chief executive officer of an...",5ed123b36fc740d763430f27c0ac831b89785183bd6f38ac4cdf450f69241934
What are the grounds for lawful strike?,Labour Relations Act,Labour Relations Act,79 – Strike or lock-out in compliance with this Act,0.661367059,"(1) In this Part, a ""protected strike"" means a strike that complies with the provisions of this Part and ""protected lock-out"" means a lock-out that complies with the provisions of this Part. (2) A person does not commit a breach of contract or a tort by taking part in— (a) a protected strike or a protected lock-out; or (b) any lawful conduct in contemplation or furtherance of a protected strike or a protected lockout. (3) An employer may not dismiss or take disciplinary action against an employee for participating in a protected strike or for any conduct in contemplation or furtherance of a protected strike. (4) Civil proceedings may not be instituted against any person for— (a) participating in a protected strike or a protected lock-out; or (b) any conduct in furtherance of a protected strike or protected lock-out. (5) Subsections (2), (3) and (4) do not apply to any action that constit...",f81117390d088798a2f2bb5bf90293ac367e01740974846908f0bea0e8960060
Who can represent employees in a trade dispute?,Labour Relations Act,Labour Relations Act,73 – Referral of dispute to Industrial Court,0.695096672,"(1) If a trade dispute is not resolved after conciliation, a party to the dispute may refer it to the Employment and Labour Relations Court in accordance with the rules of the Industrial Court. (2) Notwithstanding the provisions of subsection (1), if a trade dispute— (a) is one in respect of which a party may call a protected strike or lock-out, the dispute may only be referred to the Employment and Labour Relations Court by an aggrieved party that has made a demand in respect of an employment matter or the recognition of a trade union which has not been acceded to by the other party to the dispute; or (b) is in an essential service, the Cabinet Secretary may, in addition, refer the dispute to the Employment and Labour Relations Court. (3) A trade dispute may only be referred to the Employment and Labour Relations Court by the authorised representative of an employer, group of employers,...",a9a7d21fa039fc6da009d1f28d18114e4b50a5b4e36b72fe414fa31677a4d2bc
What is the role of the Employment and Labour Relations Court?,Labour Relations Act,Labour Relations Act,47 – Misuse of money or property of a trade union,0.724212974,"(1) The Employment and Labour Relations Court may— (a) order any person who has in his possession or control any property of a trade union, employers’ organisation or federation in violation of its rules or who has unlawfully expended or withheld its moneys, to deliver that property or pay that money to its trustees; and (b) suspend any official who contravenes paragraph (a). (2) A complaint under this section shall be brought by— (a) the Registrar; or (b) a member of a trade union, employers’ organisation or federation at the time of bringing the complaint of the trade union or employers’ organisation concerned.",c37b5a31d2d9dda7e85f4de59b84d98b5620287ca6de670da5b3db832d659304
What are the different types of land tenure in Kenya?,Land Act,Land Act,5 – Forms of tenure,0.698856294,"(1) There shall be the following forms of land tenure— (a) freehold; (b) leasehold; (c) such forms of partial interest as may be defined under this Act and other law, including but not limited to easements; and (d) customary land rights, where consistent with the Constitution. (2) There shall be equal recognition and enforcement of land rights arising under all tenure systems and non-discrimination in ownership of, and access to land under all tenure systems. (3) Save as provided for in the Constitution, a registered proprietor shall not, for the purposes of obtaining planning permission, be obliged to surrender the freehold interest in exchange for leasehold. [Act No. 28 of 2016, s. 42.]",1b59f6dc61c66b4ce8c3f372a5bdfc8eff91bf2ba22b540d9d6f1e2a0df7ef15
How is compulsory acquisition conducted?,Land Act,Land Act,111 – Compensation to be paid,0.642208308,"any other lawful compensation Provided that regardless of the form of compensation under this section, where an acquisition process is not completed within twenty-four months from the date of publication of the notice of intention to acquire the land, the acquisition shall lapse. (1C) Subject to subsection (1B), an owner of land compulsorily acquired shall elect the form of compensation. (1D) Compensation relating to compulsory acquisition shall not be paid to a public body unless there is a demonstrable inference that the land was purchased and developed by that public body. (2) The Commission shall make rules to regulate the assessment of just compensation. [Act No. 28 of 2016, s. 78], Act No. 15 of 2019, s. 5.]",57b67e481cc4deb52ab0fec3fcacb94c454fa17dd89c93c49511303098c097d4
What constitutes public land under the Land Act?,Land Act,Land Act,3 – Application,0.735277623,This Act shall apply to all land declared as— (a) public land under Article 62 of the Constitution; (b) private land under Article 64 of the Constitution; and (c) community land under Article 63 of the Constitution and any other written law relating to community land.,683d053f63fcfcd93840b3c45dda4ce2ae5bf44903365ab490e9499650fa81e6
What are the rights of a lessee?,Land Act,Land Act,2 – Interpretation,0.710027844,"with or without consideration, by the proprietor of land of the right to the exclusive possession of his or her land, and includes the right so granted and the instrument granting it, and also includes a sublease but does not include an agreement for lease; “lessee” means a person to whom a lease is granted and includes a person who has accepted a transfer or assignment of a lease; “lessor” means a person by whom a lease is granted and includes a person who has accepted the transfer or assignment of the reversion of a lease; “licence” means a permission given by the Commission in respect of public land or proprietor in respect of private or community land or a lease which allows the licensee to do some act in relation to the land or the land comprised in the lease which would otherwise be a trespass, but does not include an easement or a profit; “management body” means a statutory body, ...",054f0be144b875b2d046af982551f81c4e309b690bb21eb188f6e2a4554b6866
How is land rent determined?,Land Act,Land Act,107 – Preliminary notice,0.677640289,"(1) shall be developed within six months of the commencement of this Act. (3) For purposes of this Part, ""land value index"" means an analytical representation showing the spatial distribution of land values in a given geographical area at a specific time. (4) In addition to any other principle that may be employed in calculating the land value index, the declared value of the land for purposes of payment of rates, rents or stamp duty shall be taken into account. (5) In assessing the value of freehold land and determining the just compensation to be awarded for land acquired under this Act, an increase in the value shall be disregarded if— (a) the increase in the value of land is occasioned by the intended use or development of the land to be acquired; the increase in the value of the land as at the date of publication of the notice of intention to acquire it is likely to accrue from the ...",4f27be5bd83d64fc993f423a0719d99c89ccbbbace842c2f03b46407849e4af7
What are the essential elements of a valid contract?,Law of Contract Act,Law of Contract Act,3 – Certain contracts to be in writing.,0.61254245,"terms of a contract may be incorporated in a document either by being set out in it or by reference to some other document. (6) For the purposes of subsection (3)— ""advanced electronic signature"" has the same meaning as defined in the Kenya Information and Communications Act (Cap. 411A); ""disposition"" includes a transfer and a device, bequest or appointment of property contained in a will; ""interest in land"" means any estate in or charge over land, or any estate in or charge over the proceeds of sale of land; ""party"" includes any agent, auctioneer or advocate duly authorized in writing to act in the absence of the party who has given such authority; ""sign"", in relation to a contract, includes making one’s mark or writing one’s name or initial physically or by means of an advanced electronic signature on the instrument as an indication that one intends to bind himself to the contents of t...",74e559a6202f155e077e8d3ffefc6624d031056f71d3345e6222adb07b946eeb
When is a contract voidable?,Law of Contract Act,Law of Contract Act,2 – English law of contract to apply in Kenya.,0.635387897,"(1) Save as may be provided by any written law for the time being in force, the common law of England relating to contract, as modified by the doctrines of equity, by the Acts of Parliament of the United Kingdom applicable by virtue of subsection 2 of this section and by the Acts of Parliament of the United Kingdom specified in the Schedule to this Act, to the extent and subject to the modifications mentioned in the said Schedule, shall extend and apply to Kenya: Provided that no contract in writing shall be void or unenforceable by reason only that it is not under seal. (2) After the commencement, and subject to section 4, of this Act, the provisions of section 74 of the Kenya (Constitution) Order in Council, 1958, shall have effect, in relation to paragraph (2) of Article 4 of the Kenya Colony Order in Council, 1921, as if the Contract Act, 1872, of India had never been applied to Keny...",d8f299a92c7265880b6de785ec03f7b8df1059c055aac364d60770b538706652
What is the doctrine of privity of contract?,Law of Contract Act,Law of Contract Act,2 – English law of contract to apply in Kenya.,0.572630465,"(1) Save as may be provided by any written law for the time being in force, the common law of England relating to contract, as modified by the doctrines of equity, by the Acts of Parliament of the United Kingdom applicable by virtue of subsection 2 of this section and by the Acts of Parliament of the United Kingdom specified in the Schedule to this Act, to the extent and subject to the modifications mentioned in the said Schedule, shall extend and apply to Kenya: Provided that no contract in writing shall be void or unenforceable by reason only that it is not under seal. (2) After the commencement, and subject to section 4, of this Act, the provisions of section 74 of the Kenya (Constitution) Order in Council, 1958, shall have effect, in relation to paragraph (2) of Article 4 of the Kenya Colony Order in Council, 1921, as if the Contract Act, 1872, of India had never been applied to Keny...",d8f299a92c7265880b6de785ec03f7b8df1059c055aac364d60770b538706652
How can a contract be discharged?,Law of Contract Act,Law of Contract Act,2 – English law of contract to apply in Kenya.,0.602287412,"(1) Save as may be provided by any written law for the time being in force, the common law of England relating to contract, as modified by the doctrines of equity, by the Acts of Parliament of the United Kingdom applicable by virtue of subsection 2 of this section and by the Acts of Parliament of the United Kingdom specified in the Schedule to this Act, to the extent and subject to the modifications mentioned in the said Schedule, shall extend and apply to Kenya: Provided that no contract in writing shall be void or unenforceable by reason only that it is not under seal. (2) After the commencement, and subject to section 4, of this Act, the provisions of section 74 of the Kenya (Constitution) Order in Council, 1958, shall have effect, in relation to paragraph (2) of Article 4 of the Kenya Colony Order in Council, 1921, as if the Contract Act, 1872, of India had never been applied to Keny...",d8f299a92c7265880b6de785ec03f7b8df1059c055aac364d60770b538706652
What remedies are available for breach of contract?,Law of Contract Act,Law of Contract Act,2 – English law of contract to apply in Kenya.,0.555047452,"(1) Save as may be provided by any written law for the time being in force, the common law of England relating to contract, as modified by the doctrines of equity, by the Acts of Parliament of the United Kingdom applicable by virtue of subsection 2 of this section and by the Acts of Parliament of the United Kingdom specified in the Schedule to this Act, to the extent and subject to the modifications mentioned in the said Schedule, shall extend and apply to Kenya: Provided that no contract in writing shall be void or unenforceable by reason only that it is not under seal. (2) After the commencement, and subject to section 4, of this Act, the provisions of section 74 of the Kenya (Constitution) Order in Council, 1958, shall have effect, in relation to paragraph (2) of Article 4 of the Kenya Colony Order in Council, 1921, as if the Contract Act, 1872, of India had never been applied to Keny...",d8f299a92c7265880b6de785ec03f7b8df1059c055aac364d60770b538706652
Who is entitled to apply for a grant of letters of administration?,Law of Succession Act,Law of Succession Act,62 – No grant of administration until citation issued to executor,0.736198336,"When a person who has been appointed by a will as an executor thereof has not renounced the executorship, letters of administration shall not be granted to any other person until a citation has been issued, calling upon the executor to renounce his executorship or apply for a grant of probate of the will: Provided that— (i) when one or more of several executors have proved a will, the court may, on the death of the survivor of those who have proved, grant letters of administration without citing those who have not proved; and (ii) there may be such limited grants of letters of administration in accordance with the provisions of section 54 of this Act as may, in the opinion of the court, be necessitated by any special circumstances.",9af5115aeb6725e852aac430bb65fb4f98ad729a8a0fb52c72edf0fa4d69b571
What property constitutes a deceased’s estate?,Law of Succession Act,Law of Succession Act,68 – Liability for charges,0.714599073,"(1) Where the free property of a deceased person includes an interest in property which at the time of his death is charged with the payment of money, whether by way of mortgage, charge, lien (including a lien for unpaid purchase money), pledge or otherwise, and the deceased has not by will, deed or other document signified a contrary or other intention, the interest so charged shall, as between the different persons claiming through the deceased, be primarily liable for such payment and every part of the interest, according to its value, shall bear a proportionate part of the payment. (2) Any contrary or other intention shall not be deemed to be signified by a general direction for payment of debts out of any residuary estate, or by a charge of debts upon any residuary estate, unless the intention is further signified by words expressly or by necessary implication referring to the payme...",b5e4e47a1e1992d6ce601552c27fc38a6015cd94a6e477ea21f5ae553e2ed6d6
What is the procedure for confirmation of grant?,Law of Succession Act,Law of Succession Act,73 – Duty of court to give notice to holder of grant to apply for confirmation,0.733347178,"The court shall, within one year from the date of any grant of representation, give notice to the holder of the grant to apply for confirmation thereof. Alteration and Revocation of Grants",adfc06ab40c593f80c1cd83447b858d538a3f5bfda5b29a999e0e6599fac91de
How is intestate succession determined?,Law of Succession Act,Law of Succession Act,40 – Where intestate was polygamous,0.700059235,"(1) Where an intestate has married more than once under any system of law permitting polygamy, his personal and household effects and the residue of the net intestate estate shall, in the first instance, be divided among the houses according to the number of children in each house, but also adding any wife surviving him as an additional unit to the number of children. (2) The distribution of the personal and household effects and the residue of the net intestate estate within each house shall then be in accordance with the rules set out in sections 35 to 38.",7a891dfd745eb469449c860283eaf38389535600355e989b3cd3171fb2ff62c7
What are the rights of a surviving spouse?,Law of Succession Act,Law of Succession Act,35 – Where intestate has left one surviving spouse and child or children,0.719871521,"and the surviving spouse; (d) whether the deceased had made any advancement or other gift to the applicant during his lifetime or by will; (e) the conduct of the applicant in relation to the deceased and to the surviving spouse; (f) the situation and circumstances of any other person who has any vested or contingent interest in the net intestate estate of the deceased or as a beneficiary under his will (if any); and (g) the general circumstances of the case including the surviving spouse's reasons for withholding or exercising the power in the manner in which he or she did, and any other application made under this section. (5) Subject to the provisions of sections 41 and 42 and subject to any appointment or award made under this section, the whole residue of the net intestate estate shall on the death, or, in the case of a widow, re-marriage, of the surviving spouse, devolve upon the su...",5f2db620989d9e596646b25e51415d962483ec393bf9b04b4c38fad1f34f0b1d
What are the different types of marriages recognized in Kenya?,Marriage Act,Marriage Act,59 – Evidence of marriage,0.746925384,"(1) A marriage may be proven in Kenya by— (a) a certificate of marriage issued under this Act or any other written law; (b) a certified copy of a certificate of marriage issued under this Act or any other written law; (c) an entry in a register of marriages maintained under this Act or any other written law; (d) a certified copy of an entry in a register of marriages maintained under this Act or any other written law; or (e) an entry in a register of marriages maintained by the proper authority of the Khoja Shia, Ith’nasheri, Shia imam, Ismaili or Bohra communities, or a certified copy of such an entry. (2) Despite subsection (1), a marriage may be proven in Kenya if it was celebrated in a public place of worship but its registration was not required, by an entry in any register maintained at that public place of worship or a certified copy of such an entry.",25bc03ce4e3f539f7c5944ec3d38b6a451ed751fe36b29fcf869c6dd7dcad776
What are the legal requirements for a valid marriage?,Marriage Act,Marriage Act,40 – Recognition of foreign marriages as civil marriages in Kenya,0.718953043,A civil marriage contracted in a foreign country shall be recognized as a valid marriage if— (a) it is contracted in accordance with the law of that country; (b) it is consistent with the provisions of this Part; and (c) the parties have the capacity to marry under this Act.,8780c184046976bc48104f513fe963d81b5fb5647d603965c75f5e6e103c1577
How can a marriage be dissolved?,Marriage Act,Marriage Act,Preamble – Preamble,0.721973866,Dissolution of a Christian marriage,6c2c854e11987ed79c30c25f3d8002f81ab5b91ecf7a7818b712dd9e60dd876f
What is the role of a marriage registrar?,Marriage Act,Marriage Act,35 – Contracting a civil marriage,0.762386099,"When a marriage has been celebrated in the presence of a Registrar, the Registrar shall— (a) complete and sign a marriage certificate in the prescribed form; and (b) cause the marriage certificate to be signed by the parties and by the witnesses to the marriage and give two copies of the marriage certificate to the parties and retain one copy.",3a285da706157e906ecc695081cdc815976503e2d7df5c017192f48deb95bc00
What are the rights and duties of spouses?,Marriage Act,Marriage Act,13 – Spouses and the law of tort,0.731211185,"Despite the provisions of any other written law— (a) a spouse shall not be liable for the torts of the other spouse by reason of being a spouse; (b) spouses have the same liability in tort towards each other as if they were not married; and (c) a spouse shall be entitled to claim, in any action resulting from a negligent act, omission or breach of duty, which causes loss of the companionship of the other, or damages in respect of that loss.",d50a4d75c2696669b8298a05658768b945d7eb9a7c30d289a6ad8a905499c877
Who qualifies as a person with disability under the Act?,Persons with Disabilities Act,Persons with Disabilities Act,"79 – Apprenticeship Technical, vocational Training, Rehabilitation and Self-Employment",0.724728614,"Every person with disability shall, subject to the provisions of the Employment Act, be eligible for engagement as an apprentice or learner in their particular occupation for the period for which he or she is hire.",74bb9cbeb6be37d539391b527eeb092f5add614ea51e7165d149c0b331c46e23
What are the rights of persons with disabilities?,Persons with Disabilities Act,Persons with Disabilities Act,7 – Right to Legal Capacity,0.783034056,"(1) Persons with disability have the right to recognition everywhere as persons before the law, and to enjoy legal capacity on an equal basis with others in all aspects of life. (2) Persons with disability are entitled to such support services as they may require in exercising their right to legal capacity. (3) Every person with disability has a right to own and inherit property, to control their own financial affairs and to have access to savings and loan facilities, mortgages and other forms of financial credit on an equal basis with others.",1a03d3d6baf0177bdeec03f7318ebc56ef6275862c68c3c28b1527ecb45fe7bb
What is the role of the National Council for Persons with Disabilities?,Persons with Disabilities Act,Persons with Disabilities Act,Preamble – Preamble,0.739624918,"﻿PERSONS WITH DISABILITIES ACT NO. 4 OF 2025 An Act of Parliament to give effect to Article 54 of the Constitution; to restructure the National Council for Persons with Disabilities and to provide for its functions and powers; to provide for the institutional framework for protecting, promoting and monitoring the rights of persons with disabilities; to provide for incentives and reliefs; and for connected purposes",5b9e3f4a0bcefa29fc8a309216ad4be470fc8ede48770c933add3b4bcfb85fcf
What are the obligations of employers towards persons with disabilities?,Persons with Disabilities Act,Persons with Disabilities Act,21 – Right to work and employment for Persons with Disabilities,0.75493826,"(1) No employer shall discriminate against a person with disability in job application procedures, hiring, advancement and other terms, conditions, and privileges of employment. (2) Every employer shall— (a) where an employer has at least twenty employees, reserve at least five per cent direct employment opportunities for persons with disabilities to secure employment; (b) formulate policies and programmes to promote basic human rights, improve working conditions, and enhance employment opportunities for persons with disabilities; (c) when recruiting, not discriminate on account of disability; (d) not conduct any test or examination to establish whether an applicant is a person with a disability or as to the nature or severity of the person’s disability; and (e) be required to carry out appropriate modifications in their work premises to accommodate the employment of persons with disabil...",24a1867d8e04cb67f386659d48b1574623cf24d04d34ddfda2736d3672261c9f
How are public facilities required to accommodate persons with disabilities?,Persons with Disabilities Act,Persons with Disabilities Act,6 – Duty to provide access to buildings—,0.774967909,"(a) Any person, who constructs, a building to which the public is invited, shall ensure that persons with disabilities have access through provision of— (i) accessible and easy-to-find building entrances, connected by accessible pathways to accessible indoor or outdoor parking areas, local public transit stops and accessible elevators; (ii) safe and accessible urinal, bathrooms for the diverse disabilities; (iii) safe and well-dimensioned staircases for the comfort of persons with mobility problems; (iv) ramps wherever stairs obstruct the free passage of pedestrians, mainly wheelchair users and people with mobility problems; (v) adequate railing around hazardous areas, stairs, ramps, accessible roofs, mezzanines, galleries, balconies and raised platforms; and (vi) well-dimensioned elevators, (in the case of multi-storied buildings) that persons with disabilities can use conveniently.",859302b75780992e0023cac7493ff076d02f67eb934e47eb71ab9b9d144721fa
What is the jurisdiction of the Small Claims Court?,Small Claims Court Act,Small Claims Court Act,4 – Establishment of the Court,0.756678119,"(1) There is established a court to be known as the Small Claims Court which shall be a subordinate Court pursuant to Article 169(1)(d) of the Constitution. (2) Pursuant to Article 6(3) of the Constitution, the Chief Justice shall, by notice in the Gazette, designate any Court station as a Small Claims Court with such geographical jurisdiction as may be specified in the notice. (3) Notwithstanding subsection (2), the geographical jurisdiction may be in relation to a sub-county or other units of decentralization in compliance with Article 6(3) of the Constitution.",a25797f8f33e7e68a72aa49770e9e7210c870c70d12a2fc284edb18789a85ee4
What is the monetary limit for claims?,Small Claims Court Act,Small Claims Court Act,24 – Form of statement of claim,0.617994905,"Every statement of claim shall contain the following particulars— (a) the name and address of each claimant and, in the case of a representative claim, the name and address of each person represented; (b) the name and address of each respondent; (c) the nature of the claim; (d) the sum of money claimed by each claimant or person represented; (e) the relief or orders sought; and (f) other particulars of the claim as are reasonably sufficient to inform the respondent of the ground for the claim and the manner in which the amount claimed by each claimant or person represented has been calculated.",0f6395f4343fd48e92ffacf706032829b5aaf70b61b86bae70525ffa73cc0c21
Who can appear before the Small Claims Court?,Small Claims Court Act,Small Claims Court Act,4 – Establishment of the Court,0.663315356,"(1) There is established a court to be known as the Small Claims Court which shall be a subordinate Court pursuant to Article 169(1)(d) of the Constitution. (2) Pursuant to Article 6(3) of the Constitution, the Chief Justice shall, by notice in the Gazette, designate any Court station as a Small Claims Court with such geographical jurisdiction as may be specified in the notice. (3) Notwithstanding subsection (2), the geographical jurisdiction may be in relation to a sub-county or other units of decentralization in compliance with Article 6(3) of the Constitution.",a25797f8f33e7e68a72aa49770e9e7210c870c70d12a2fc284edb18789a85ee4
What is the appeal process under the Act?,Small Claims Court Act,Small Claims Court Act,38 – Appeals,0.63338092,(1) A person aggrieved by the decision or an order of the Court may appeal against that decision or order to the High Court on matters of law. (2) An appeal from any decision or order referred to in subsection (1) shall be final.,7463ac64aec7f4e6b4605b950c7191d63b49d5a63942217b7fe3d573bac18b79
How is a judgment of the Small Claims Court enforced?,Small Claims Court Act,Small Claims Court Act,39 – Procedure for execution,0.652595341,"Where a judgment debtor fails to pay to the decree holder any sum specified in a decree or order, the Court may— (a) where the judgment debtor's movable property is insufficient to satisfy the decree, order execution by attachment and sale of the judgment debtor's immovable property; (b) order the attachment of the salary of the judgement debtor; or (c) suspend the execution of the warrant and the order either wholly or in part on such conditions as to security or otherwise as the Court may determine.",de7145e7679708f77f37bcd9a400929da8c840b23d67639b819c43e44e4f9d8f
What is the process for filing tax returns in Kenya?,Tax Procedures Act,Tax Procedures Act,113 – Transitional and saving,0.735996485,"the tax. FIRST SCHEDULE (s. 12) TRANSACTIONS FOR WHICH A PIN IS REQUIRED (Act No. 23 of 2019, s. 35, Act No. 8 of 2021, s. 48, Act No. 22 of 2022, s. 45) (1) Registration of titles and stamping of instruments. (2) Approval of development plans and payment of water deposits. (3) Registration of motor vehicles, transfer of motor vehicles, and licensing of motor vehicles. (4) Registration of business names. (5) Registration of companies. (6) Underwriting of insurance policies. (7) Trade licensing. (8) Importation of goods and customs clearing and forwarding. (9) Payment of deposits for power connections. (10) All contracts for the supply of goods and services to Government Ministries and public bodies. (11) Opening accounts with financial institutions and investment banks. (12) Registration and renewal of membership by professional bodies and other licensing agencies. (13) Registration of m...",678d646bde3871375acd016f70b363df6c67bc462aec9fbe6a39c53cb18164cf
How can a taxpayer object to a tax decision?,Tax Procedures Act,Tax Procedures Act,51 – Objection to tax decision,0.742541432,"(1) A taxpayer who wishes to dispute a tax decision shall first lodge an objection against that tax decision under this section before proceeding under any other written law. (2) A taxpayer who disputes a tax decision may lodge a notice of objection to the decision, in writing, with the Commissioner within thirty days of being notified of the decision. (3) A notice of objection shall be treated as validly lodged by a taxpayer under subsection (2) if— (a) the notice of objection states precisely the grounds of objection, the amendments required to be made to correct the decision, and the reasons for the amendments; (b) in relation to an objection to an assessment, the taxpayer has paid the entire amount of tax due under the assessment that is not in dispute or has applied for an extension of time to pay the tax not in dispute under section 33(1); and (c) all the relevant documents relatin...",db0039693f57405b6bb496438f14d48907fa49340b0f6d7a6982e540b21f5aca
What are the powers of the Commissioner under the Act?,Tax Procedures Act,Tax Procedures Act,4 – Functions and powers of the Commissioner,0.698318243,"(1) The Commissioner shall be responsible for— (a) the control and collection of taxes; (b) accounting for collected taxes; and (c) subject to the direction and control of the Cabinet Secretary, for the general administration of tax laws. (2) The Commissioner shall appoint such authorised officers as may be necessary for the administration of a tax law. (3) An authorised officer shall enforce, and ensure due compliance with, the provisions of the tax law, and shall make all due inquiries in relation thereto. (4) An authorised officer shall produce on demand such documents approved by the Commissioner establishing the officer’s identity.",9bbe25984dd1b112a6569ccdab127972ae0843553a5651f07dbcb95b84f36fb2
When is tax due and payable?,Tax Procedures Act,Tax Procedures Act,77 – Due date for submission and payment,0.746700406,"If the date for— (a) submitting or lodging a tax return, application, notice, or other document; (b) the payment of a tax; or (c) taking any other action under a tax law, falls on a Saturday, Sunday, or public holiday in Kenya, the due date shall be the previous working day: Provided that where a person who submits a notice of objection in electronic form or a tax return in electronic form, or pays the tax electronically, the due date shall remain the date specified in the relevant tax law. (Act No. 8 of 2021, s. 42)",03c5794b08b79c9345a8ee6e87c67fd6c040013614990bcf4a9e38e9f947541b
What are the offences under the Tax Procedures Act?,Tax Procedures Act,Tax Procedures Act,93 – Failure to maintain documents,0.738412142,"(1) A person commits an offence if the person fails to keep, retain or maintain a document that may be required to be kept, retained or maintained in accordance with a tax law without reasonable excuse during a reporting period. (2) A person commits an offence if the person deliberately prepares or maintains or authorises another person to prepare or maintain false documents in relation to a tax law. (3) A person commits an offence if the person falsifies or authorises another person to falsify any in relation to a tax law.",f3c85fee52f5d4279897f5decdb1817328f646ced2664999dca20187e5084f5d
