question,act,retrieved_act,section,similarity,answer_text,doc_id
What are the offences and penalties provided for under the Distress for Rent Act?,Distress for Rent Act,Distress for Rent Act,1 – Short title,0.725374728,This Act may be cited as the Distress for Rent Act.,ce104d2ed776c2ce71779f1d916fb04c77651316ab1d9a6313ded8edd50db2f0
How are inspections and enforcement actions carried out under the Distress for Rent Act?,Distress for Rent Act,Distress for Rent Act,1 – Short title,0.676889211,This Act may be cited as the Distress for Rent Act.,ce104d2ed776c2ce71779f1d916fb04c77651316ab1d9a6313ded8edd50db2f0
"What powers of entry, search, and seizure exist under the Distress for Rent Act?",Distress for Rent Act,Distress for Rent Act,13 – Distress may be secured and sold on premises,0.697766781,"Any person or persons lawfully taking distress for any kind or rent may impound or otherwise secure the distress so made, of whatever nature or kind it may be, in such place or on such part of the premises chargeable with the rent as is most fit and convenient for the impounding and securing thereof, and may value, sell and dispose of the distress upon the premises in the same manner and under the same directions and restraints as a person taking a distress for rent may now do off the premises under this Act; and any person or persons may come and go to and from that place or part of the premises where the distress for rent is impounded and secured in order to view, value and buy and also in order to carry off or remove the distress, on account of the purchaser thereof.",f932e5787c602e1c99564ceb19325f2aa04e99a45b52677f5718235a32069237
What are the appeal or review mechanisms available under the Distress for Rent Act?,Distress for Rent Act,Distress for Rent Act,15 – Distress for rent not unlawful for any irregularity,0.683160365,"Where distress is made for any kind of rent justly due, and any irregularity or unlawful act is afterwards done by the party distraining, or by his agents, the distress itself shall not be therefore deemed to be unlawful nor the party making it be deemed a trespasser ab initio, but the party aggrieved by the unlawful act or irregularity may recover full satisfaction for the special damage he has sustained thereby in a suit for that purpose: Provided that— (i) when the plaintiff recovers in that suit, he shall be paid his full costs of suit and have the same remedies for them as in other cases of costs; (ii) no tenant or lessee shall recover in any suit for any such unlawful act or irregularity, if tender of amends has been made by the party distraining or his agent before the suit is brought. [Act No. 5 of 1996, s. 34.]",8fb48701db5de7b069cbcbe8b37187f98359b90793c2e233d3a1e38eaca807ec
What is the purpose and scope of the Employment Act?,Employment Act,Employment Act,5 – Discrimination in employment,0.689602017,"(1) It shall be the duty of the Cabinet Secretary, labour officers and the Employment and Labour Relations Court— (a) to promote equality of opportunity in employment in order to eliminate discrimination in employment; and (b) to promote and guarantee equality of opportunity for a person who, is a migrant worker or a member of the family of the migrant worker, lawfully within Kenya. (2) An employer shall promote equal opportunity in employment and strive to eliminate discrimination in any employment policy or practice. (3) No employer shall discriminate directly or indirectly, against an employee or prospective employee or harass an employee or prospective employee— (a) on grounds of race, colour, sex, language, religion, political or other opinion, nationality, ethnic or social origin, disability, pregnancy, marital status or HIV status; (b) in respect of recruitment, training, promotio...",b1d19c6201405bb84ed188d4156b9be35b03d99f66a2c48b6c067490a543027a
Which authority is responsible for administering and enforcing the Employment Act?,Employment Act,Employment Act,2 – Interpretation,0.662436873,"In this Act, unless the context otherwise requires— ""authorised officer"" means a labour officer, employment officer or medical officer; ""basic salary"" means an employee's gross salary excluding allowances and other benefits; ""Board"" means the National Labour Board; ""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to labour matters; ""casual employee"" means a person the terms of whose engagement provide for his payment at the end of each day and who is not engaged for a longer period than twenty-four hours at a time; ""child"" means a person who has not attained the age of eighteen years; ""collective agreement"" means a registered agreement concerning any terms and conditions of employment made in writing between a trade union and an employer, group of employers or employers' organization; ""contract of service"" means an agreement, whether ora...",371fc935ba272dfb62be4a9f603b4fa8f95ee1303e9042926ac8ce7041c6a60c
What definitions in the Employment Act are most critical for compliance?,Employment Act,Employment Act,2 – Interpretation,0.667158157,"in writing, and whether expressed or implied, to employ or to serve as an employee for a period of time, and includes a contract of apprenticeship and indentured learnership but does not include a foreign contract of service to which Part XI of this Act applies; ""dependent"" means a member of an employee's family or a relative who substantially depends on that employee for his livelihood; ""Director"" means a person appointed as the Director of Employment; ""disability"" means a physical, sensory, mental or other impairment, including any visual, hearing, learning or physical incapability, which impacts adversely on a person's social and economic participation; ""employee"" means a person employed for wages or a salary and includes an apprentice and indentured learner; ""employee contribution"" deleted by Act No. 20 of 2020, Sch.; ""employee earnings"" deleted by Act No. 23 of 2019, s. 52; ""employe...",fe6de2ff25b4879b54f709eb66fb81a9187714886f875b87a32b225ddbd572d2
"What licences, permits, or approvals are required under the Employment Act?",Employment Act,Employment Act,2 – Interpretation,0.654984236,"In this Act, unless the context otherwise requires— ""authorised officer"" means a labour officer, employment officer or medical officer; ""basic salary"" means an employee's gross salary excluding allowances and other benefits; ""Board"" means the National Labour Board; ""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to labour matters; ""casual employee"" means a person the terms of whose engagement provide for his payment at the end of each day and who is not engaged for a longer period than twenty-four hours at a time; ""child"" means a person who has not attained the age of eighteen years; ""collective agreement"" means a registered agreement concerning any terms and conditions of employment made in writing between a trade union and an employer, group of employers or employers' organization; ""contract of service"" means an agreement, whether ora...",371fc935ba272dfb62be4a9f603b4fa8f95ee1303e9042926ac8ce7041c6a60c
What is the procedure for applying for approvals under the Employment Act?,Employment Act,Employment Act,71 – Complaint to Employment and Labour Relations Court,0.66647166,(1) A person who has applied for a payment under section 66 may present a complaint to the Employment and Labour Relations Court— (a) that the Cabinet Secretary has failed to make the payment; or (b) that the payment made by the Cabinet Secretary is less than the amount which should have been paid. (2) The Employment and Labour Relations Court shall not consider a complaint under subsection (1) unless it is presented— (a) before the end of the period of three months beginning with the date which the decision of the Cabinet Secretary on the application was communicated to the applicant; or (b) within such further period as the Employment and Labour Relations Court considers reasonable in a case where it is not reasonably practicable for the complaint to be presented before the end of that period of three months. (3) Where the Employment and Labour Relations Court finds that the Cabinet Se...,2bdc211bd9218b658c209a54f61d2a1b60d626f5c583b93af500405e33a40fa6
What duties or obligations does the Employment Act impose on regulated persons or entities?,Employment Act,Employment Act,2 – Interpretation,0.676311105,"In this Act, unless the context otherwise requires— ""authorised officer"" means a labour officer, employment officer or medical officer; ""basic salary"" means an employee's gross salary excluding allowances and other benefits; ""Board"" means the National Labour Board; ""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to labour matters; ""casual employee"" means a person the terms of whose engagement provide for his payment at the end of each day and who is not engaged for a longer period than twenty-four hours at a time; ""child"" means a person who has not attained the age of eighteen years; ""collective agreement"" means a registered agreement concerning any terms and conditions of employment made in writing between a trade union and an employer, group of employers or employers' organization; ""contract of service"" means an agreement, whether ora...",371fc935ba272dfb62be4a9f603b4fa8f95ee1303e9042926ac8ce7041c6a60c
What records must be kept to comply with the Employment Act?,Employment Act,Employment Act,74 – Records to be kept by employer,0.746305466,"(1) An employer shall keep a written record of all employees employed by him, with whom he has entered into a contract under this Act which shall contain the particulars— (a) of a policy statement under section 6(2) where applicable; (b) specified in section 10(3); (c) specified in section 13; (d) specified in sections 21 and 22; (e) of an employee's weekly rest days specified in section 27; (f) of an employees annual leave entitlement, days taken and days due specified in section 28; (g) of maternity leave specified in section 29; (h) of sick leave specified in section 30; (i) where the employer provides housing, particulars of the accommodation provided and, where the wage rates are deconsolidated particulars of the house allowance paid to the employee; (j) of food rations where applicable; (k) specified in section 61; (l) of a record of warning letters or other evidence of misconduct ...",4a83925564fbaa93ba3c4517b552db2db7643f6b22928f1f37e2531ffb169a65
"What fees, charges, or levies may be imposed under the Employment Act?",Employment Act,Employment Act,2 – Interpretation,0.668178082,"In this Act, unless the context otherwise requires— ""authorised officer"" means a labour officer, employment officer or medical officer; ""basic salary"" means an employee's gross salary excluding allowances and other benefits; ""Board"" means the National Labour Board; ""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to labour matters; ""casual employee"" means a person the terms of whose engagement provide for his payment at the end of each day and who is not engaged for a longer period than twenty-four hours at a time; ""child"" means a person who has not attained the age of eighteen years; ""collective agreement"" means a registered agreement concerning any terms and conditions of employment made in writing between a trade union and an employer, group of employers or employers' organization; ""contract of service"" means an agreement, whether ora...",371fc935ba272dfb62be4a9f603b4fa8f95ee1303e9042926ac8ce7041c6a60c
What are the offences and penalties provided for under the Employment Act?,Employment Act,Employment Act,87 – General penalty and offences under other laws,0.7138381,"(1) A person, other than a child, who commits an offence under this Act, or contravenes or fails to comply with any of the provisions of this Act for which no penalty is specifically provided shall be liable to a fine not exceeding fifty thousand shillings or to imprisonment for a term not exceeding three months or to both. (2) Nothing in this Act shall prevent an employer or employee from being proceeded against according to law for an offence punishable under any other law in force. (3) No employer or employee shall be punished twice for the same offence.",92ac38f9af500705991f0009bc225df4d4d24d525e490e2fd6584fde17c336dd
How are inspections and enforcement actions carried out under the Employment Act?,Employment Act,Employment Act,55 – Powers of labour officer to cancel and prohibit contracts,0.653095722,"(1) A labour officer may, by notice in writing served upon an employer, terminate or cancel any contract of service, other than a deed of apprenticeship or indentured learnership lawfully entered into under the provisions of the Industrial Training Act (Cap. 237), which has been entered into by a child with the employer, on grounds that, in the opinion of that labour officer, the employer is an undesirable person, or that the nature of the employment constitutes worst forms of child labour or for any other cause which may be prescribed. (2) A labour officer may, by notice in writing served upon any person, prohibit that person from employing a child in any class or description of employment specified in the notice, on grounds that, in the opinion of the labour officer, that person is an undesirable person, or that the nature of the employment constitutes worst forms of child labour or fo...",46dc15b732e365d8a054056469f5c38f4a7eb76f529e9a9315344181a2710935
"What powers of entry, search, and seizure exist under the Employment Act?",Employment Act,Employment Act,2 – Interpretation,0.628636003,"In this Act, unless the context otherwise requires— ""authorised officer"" means a labour officer, employment officer or medical officer; ""basic salary"" means an employee's gross salary excluding allowances and other benefits; ""Board"" means the National Labour Board; ""Cabinet Secretary"" means the Cabinet Secretary for the time being responsible for matters relating to labour matters; ""casual employee"" means a person the terms of whose engagement provide for his payment at the end of each day and who is not engaged for a longer period than twenty-four hours at a time; ""child"" means a person who has not attained the age of eighteen years; ""collective agreement"" means a registered agreement concerning any terms and conditions of employment made in writing between a trade union and an employer, group of employers or employers' organization; ""contract of service"" means an agreement, whether ora...",371fc935ba272dfb62be4a9f603b4fa8f95ee1303e9042926ac8ce7041c6a60c
What are the appeal or review mechanisms available under the Employment Act?,Employment Act,Employment Act,45 – Unfair termination,0.650426954,"in section 46; or (b) it is found out that in all the circumstances of the case, the employer did not act in accordance with justice and equity in terminating the employment of the employee. (5) In deciding whether it was just and equitable for an employer to terminate the employment of an employee, for the purposes of this section, a labour Officer, or the Employment and Labour Relations Court shall consider— (a) the procedure adopted by the employer in reaching the decision to dismiss the employee, the communication of that decision to the employee and the handling of any appeal against the decision; (b) the conduct and capability of the employee up to the date of termination; (c) the extent to which the employer has complied with any statutory requirements connected with the termination, including the issuing of a certificate under section 51 and the procedural requirements set out in...",4cd0b71e5def7ab05cd724d352d5492f1d41538875d0fa14fb061b6ba4bbb13c
What is the purpose and scope of the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.699693799,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
Which authority is responsible for administering and enforcing the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.66711092,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
What definitions in the Evidence Act are most critical for compliance?,Evidence Act,Evidence Act,1 – Short title.,0.670083463,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
"What licences, permits, or approvals are required under the Evidence Act?",Evidence Act,Evidence Act,63 – Oral evidence must be direct.,0.626074463,"an expert expressed in any treatise commonly offered for sale, and the grounds on which such opinion is held, may be proved by the production of such treatise if the author is dead or cannot be found, or has become incapable of giving evidence, or cannot be called as a witness without an amount of delay or expense which the court regards as unreasonable. (3) If oral evidence refers to the existence or condition of any material thing, other than a document, the court may, if it thinks fit, require the production of such material thing for its inspection. 63A. Teleconferencing and video conferencing (1) A court may receive oral evidence through teleconferencing and video conferencing. (2) The Chief Justice may develop regulations to govern the use of teleconferencing and video conferencing. [Act No. 19 of 2014, s. 30.]",00efd4e8d0f976c32d561935bb62695dc6000aadb01a3fef677236473376a657
What is the procedure for applying for approvals under the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.627554715,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
What duties or obligations does the Evidence Act impose on regulated persons or entities?,Evidence Act,Evidence Act,1 – Short title.,0.656643301,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
What records must be kept to comply with the Evidence Act?,Evidence Act,Evidence Act,82 – Proof of certain public documents.,0.655893981,"Without prejudice to any other mode of proof, prima facie evidence of the following public documents may be given in the manner hereinafter shown, that is to say— (a) deleted by L.N. 22 of 1965; (b) deleted by L.N. 22 of 1965; (c) proceedings of the East Africa Central Legislative Assembly, or of the legislature of any country in the Commonwealth, by the journals thereof, or, in the case of such Assembly or legislature as aforesaid, by copies of such journals purporting to be printed or published by or under the authority of such Assembly or legislature, or by or under the authority of the government of any such country; (d) acts, orders or notifications of the executive Government of Kenya, the High Commission or the Organization or any service, thereof, or any local authority, or of a ministry or department of any of the foregoing— (i) by the records of the service, ministry or departm...",d401ac3d152a6e7ad1799226e6909fdc11c58be3f571c865068ac8ea27698a0b
"What fees, charges, or levies may be imposed under the Evidence Act?",Evidence Act,Evidence Act,1 – Short title.,0.642412454,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
What are the offences and penalties provided for under the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.659761786,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
How are inspections and enforcement actions carried out under the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.645128757,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
"What powers of entry, search, and seizure exist under the Evidence Act?",Evidence Act,Evidence Act,3 – Interpretation.,0.641365558,"except arbitrators, legally authorized to take evidence; ""evidence"" denotes the means by which an alleged matter of fact, the truth of which is submitted to investigation, is proved or disproved; and, without prejudice to the foregoing generality, includes statements by accused persons, admissions, and observation by the court in its judicial capacity; ""fact"" includes— (a) any thing, state of things, or relation of things, capable of being perceived by the senses; and (b) any mental condition of which any person is conscious; ""fact in issue"" means any fact from which, either by itself or in connection with other facts, the existence, non-existence, nature or extent of any right, liability or disability, asserted or denied in any suit or proceeding, necessarily follows; ""Gazette and Government Printer"" respectively include the Gazette and the Organization Printer as defined in the Interpr...",a2a31b827918bfc8cdccf1443dd53a150d95a3f28f5b5d095d714d27bc0a97b3
What are the appeal or review mechanisms available under the Evidence Act?,Evidence Act,Evidence Act,1 – Short title.,0.617280304,This Act may be cited as the Evidence Act.,1e6bcd1e439bbd2dc10d7b8d9495ef6a4d8a89871507ddcb119c7de42e41884f
What is the purpose and scope of the Excise Duty Act?,Excise Duty Act,Excise Duty Act,1 – Short title,0.754280761,This Act may be cited as the Excise Duty Act.,1d5f82509e5aa79b9752f9639d3b6086576e88e0e722221a86ab901134066522
Which authority is responsible for administering and enforcing the Excise Duty Act?,Excise Duty Act,Excise Duty Act,1 – Short title,0.710006297,This Act may be cited as the Excise Duty Act.,1d5f82509e5aa79b9752f9639d3b6086576e88e0e722221a86ab901134066522
What definitions in the Excise Duty Act are most critical for compliance?,Excise Duty Act,Excise Duty Act,1 – Short title,0.707755089,This Act may be cited as the Excise Duty Act.,1d5f82509e5aa79b9752f9639d3b6086576e88e0e722221a86ab901134066522
"What licences, permits, or approvals are required under the Excise Duty Act?",Excise Duty Act,Excise Duty Act,22 – Consequences of suspension or cancellation of licence,0.7157076,"and (b) pay excise duty on excisable services supplied in respect of which duty is not still unpaid. (3) If the licence of a person, other than a person to whom subsection (2) applies, is suspended or cancelled, the person shall immediately cease to undertake the activity for which the licence is issued. (4) The Commissioner may, by notice in writing, require a licensed person to pay such costs as may be incurred by the Commissioner as a result of the suspension or cancellation of the person's licence as specified in the notice and the costs shall be treated as tax for the purposes of the Tax Procedures Act (Cap. 469B).",910dbcc283c4561a2d97d73fe70b4196c40219efaa70b4d3a29806e80740cc9b
What is the procedure for applying for approvals under the Excise Duty Act?,Excise Duty Act,Excise Duty Act,35 – Excise duty returns,0.715794861,"A licensed manufacturer or a supplier of excisable services shall submit an excise duty return, in the approved form and in the prescribed manner, for each calendar month not later than the twentieth day of the succeeding month, whether or not any excise duty is payable for that month.",284f6e4d5b2d7361354745f6239d91ae0d7f79382af63fb51e7f31e401516d5f
What duties or obligations does the Excise Duty Act impose on regulated persons or entities?,Excise Duty Act,Excise Duty Act,15 – Activities requiring a licence,0.729530275,"(1) A person shall not undertake any of the following activities unless the person is licensed or registered by the Commissioner to undertake the activity— (a) the manufacture of excisable goods in Kenya; (b) the importation into Kenya of excisable goods specified by the Cabinet Secretary under section 28 as requiring an excise stamp; (c) the supply of excisable services; (d) the use of spirit or illuminating kerosene to manufacture goods in Kenya that are not excisable goods; or (e) the carrying out of any other activity in Kenya for which the Commissioner, by notice in the Gazette, may impose a requirement for a licence. (2) A person who manufactures excisable goods or supplies excisable services in contravention of subsection (1) shall be liable for the excise duty payable in respect of the excisable goods or services at the rate specified in the First Schedule. (3) The excise duty pa...",df80e76b85cf939086ddbd420c835703591458a2a58578914bd9b3e734766221
What records must be kept to comply with the Excise Duty Act?,Excise Duty Act,Excise Duty Act,34 – Record keeping,0.770665348,"A person liable to pay excise duty under this Act shall keep such records as may be specified in this Act or the Regulations and shall retain the records for the time period, and in the manner specified in the Tax Procedures Act (Cap. 469B).",b68d98c9a00282a6960dbfeccd997fda07c347624be85a3d7e9208e370b89f11
"What fees, charges, or levies may be imposed under the Excise Duty Act?",Excise Duty Act,Excise Duty Act,5 – Imposition of excise duty,0.741659969,"(1) Subject to this Act, a tax, to be known as excise duty, shall be charged in accordance with the provisions of this Act on— (a) excisable goods manufactured in Kenya by a licensed manufacturer; (b) excisable services supplied in Kenya by a licensed person; (c) excisable goods imported into Kenya; or (d) excisable services offered in Kenya by a non-resident person through a digital platform. (2) Excise duty shall be charged at the rate specified in the First Schedule for the excisable goods or services in force at the time the liability arises for excise duty as determined under section 6. (3) The excise duty payable— (a) under subsection (1)(a), shall be payable by the licensed manufacturer; (b) under subsection (1)(b), shall be payable by the licensed person making the supply: (c) under subsection (1)(c), shall be payable by the importer of the excisable goods; or (d) under subsectio...",ceedb85558e22e8463eb15ddbc38dd29fc24b40053d030fcd696410fe167b794
What are the offences and penalties provided for under the Excise Duty Act?,Excise Duty Act,Excise Duty Act,39 – Offences relating to licensing and excise control,0.73283729,"manufactured contrary to the provisions of this Act, or which have been removed from the place where they ought to have been charged with excise duty before such duty has been charged and either paid or secured commits an offence. (6) Any plant or excisable goods or any materials, in respect of which an offence has been established in relation to sections 15,18,19, or 28 shall, in addition to any other penalty imposed under this Act, be forfeited to the Commissioner. [Act No. 10 of 2018, s. 31.]",492001f07854d9be441269466c7e114a5085fa4f4bc655e53250201bc845a416
How are inspections and enforcement actions carried out under the Excise Duty Act?,Excise Duty Act,Excise Duty Act,7 – Goods and services not liable to excise duty,0.683521748,"(1) Subject to this section, no excise duty shall be charged on the following— (a) exempt goods which meet the conditions set out in the Second Schedule; (b) excisable goods exported under customs control, including as stores; (c) excisable services exported from Kenya; (d) excisable goods that the manufacturer has destroyed, with the prior written permission of the Commissioner, under the supervision of an authorised officer prior to their removal from the factory in which they were manufactured; (e) denatured spirits for use in the manufacture of gasohol or as a heating fuel; (f) excisable goods that have been lost or destroyed by accident or other unavoidable cause— (i) in the course of removal of the goods by the manufacturer from the manufacturer's factory including when loading or unloading the goods; (ii) in the factory of the manufacturer in which the goods were manufactured befo...",e910f2edc96ded32d1ee0d56a1825d39f2227d7d6592bf6da19c26af6f57c952
"What powers of entry, search, and seizure exist under the Excise Duty Act?",Excise Duty Act,Excise Duty Act,7 – Goods and services not liable to excise duty,0.679048151,"(1) Subject to this section, no excise duty shall be charged on the following— (a) exempt goods which meet the conditions set out in the Second Schedule; (b) excisable goods exported under customs control, including as stores; (c) excisable services exported from Kenya; (d) excisable goods that the manufacturer has destroyed, with the prior written permission of the Commissioner, under the supervision of an authorised officer prior to their removal from the factory in which they were manufactured; (e) denatured spirits for use in the manufacture of gasohol or as a heating fuel; (f) excisable goods that have been lost or destroyed by accident or other unavoidable cause— (i) in the course of removal of the goods by the manufacturer from the manufacturer's factory including when loading or unloading the goods; (ii) in the factory of the manufacturer in which the goods were manufactured befo...",e910f2edc96ded32d1ee0d56a1825d39f2227d7d6592bf6da19c26af6f57c952
What are the appeal or review mechanisms available under the Excise Duty Act?,Excise Duty Act,Excise Duty Act,42 – Tax avoidance schemes,0.674595475,"(1) Despite anything in this Act, if the Commissioner is satisfied that— (a) a scheme has been entered into or carried out; (b) a person has obtained a tax benefit in connection with the scheme; and (c) having regard to the substance of the scheme, it would be concluded that the person, or any other, who entered into or carried out the scheme did so for the sole or main purpose of enabling the person referred to in paragraph (b) to obtain the tax benefit, the Commissioner may determine the excise duty liability of the person who obtained the tax benefit as if the scheme had not been entered into or carried out. (2) If a determination is made under subsection (1), the Commissioner shall issue an assessment giving effect to the determination. (3) A determination under subsection (1) shall be made within five years from the last day of the month in which the excise duty liability arose. (4)...",863dea4e5ab929e9da3a0ba6c5b8195b89114c1d7ec23d044e148debcc5bed01
What is the purpose and scope of the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.751606479,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
Which authority is responsible for administering and enforcing the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.685022384,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
What definitions in the Fatal Accidents Act are most critical for compliance?,Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.684721708,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
"What licences, permits, or approvals are required under the Fatal Accidents Act?",Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.634776354,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
What is the procedure for applying for approvals under the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.652310699,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
What duties or obligations does the Fatal Accidents Act impose on regulated persons or entities?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.703099728,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
What records must be kept to comply with the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.637197852,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
"What fees, charges, or levies may be imposed under the Fatal Accidents Act?",Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.677030385,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
What are the offences and penalties provided for under the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.705087572,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
How are inspections and enforcement actions carried out under the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.653011531,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
"What powers of entry, search, and seizure exist under the Fatal Accidents Act?",Fatal Accidents Act,Fatal Accidents Act,1 – Short title,0.629818916,This Act may be cited as the Fatal Accidents Act.,6955ebd50e9b0dc16f6609938658476a46cac5b6bc5ee638546191f7b3b0617a
What are the appeal or review mechanisms available under the Fatal Accidents Act?,Fatal Accidents Act,Fatal Accidents Act,Preamble – Preamble,0.627553582,﻿THE FATAL ACCIDENTS ACT An Act of Parliament for compensating the families of persons killed in accidents.,09798df1818da3a6775b613eea8dad2902f5ffad00764c5a99782cea1e61cb40
What is the purpose and scope of the Income Tax Act?,Income Tax Act,Income Tax Act,Preamble – Preamble,0.724880934,"﻿INCOME TAX ACT CAP. 470 An Act of Parliament to make provision for the charge, assessment and collection of income tax; for the ascertainment of the income to be charged; for the administrative and general provisions relating thereto; and for matters incidental to and connected with the foregoing",9ebbbac742a83a45fc89cad14bbb7edfa54df1814f48910c59b1e2ec10156bdf
Which authority is responsible for administering and enforcing the Income Tax Act?,Income Tax Act,Income Tax Act,1 – Short title and commencement,0.663119018,"This Act may be cited as the Income Tax Act, and shall, subject to the Sixth Schedule, come into operation on 1st January, 1974, and apply to assessments for the year of income 1974 and subsequent years of income.",db697b6e7fbf944812039a53918eca6b0a038627998167f75697ada3e91dc8d5
What definitions in the Income Tax Act are most critical for compliance?,Income Tax Act,Income Tax Act,Preamble – Preamble,0.666843444,"﻿INCOME TAX ACT CAP. 470 An Act of Parliament to make provision for the charge, assessment and collection of income tax; for the ascertainment of the income to be charged; for the administrative and general provisions relating thereto; and for matters incidental to and connected with the foregoing",9ebbbac742a83a45fc89cad14bbb7edfa54df1814f48910c59b1e2ec10156bdf
"What licences, permits, or approvals are required under the Income Tax Act?",Income Tax Act,Income Tax Act,2 – Taxation of licenses,0.678492427,"(1) A licensee is subject to tax in accordance with this Act but subject to the modifications in this Schedule. (2) Where there is any inconsistency between this Schedule and any other provision of this Act regarding the taxation of a licensee, this Schedule shall prevail. (3) The corporate rate specified under paragraph 2 of Head B of the Third Schedule shall be the rate of income tax applicable to a licensee that is a company.",2eb2140abe6c93f5a9200636788869677eaa67ad94d8b8639ac2dbe2fd98bc1f
What is the procedure for applying for approvals under the Income Tax Act?,Income Tax Act,Income Tax Act,"27 – Accounting periods not coinciding with year of income, etc.",0.69221276,"(1) Where any person usually makes up the accounts of his business for a period of twelve months ending on any day other than 31st December, then, for the purpose of ascertaining his total income for any year of income, the income of any such accounting period ending on such other date shall, subject to such adjustment as the Commissioner may consider appropriate, be taken to be income of the year of income in which the accounting period ends– (a) in the case of a person other than an individual, as regards all income charged under section 3 of this Act; and (b) in the case of an individual, as regards all income charged under that section other than gains or profits from any employment or services rendered. (1A) A person carrying on an incorporated business may subject to the prior written approval of the Commissioner alter the date to which the accounts of the business are made up. (1B...",92c6728118341e7876d822df889e0c25b431fb64c51301e884802dea8860e6ee
What duties or obligations does the Income Tax Act impose on regulated persons or entities?,Income Tax Act,Income Tax Act,7 – Taxation of contractors,0.660820693,"(1) A contractor is subject to tax in accordance with this Act but subject to the modifications in this Schedule. (2) If there is any inconsistency between this Schedule and any other provision the Act, in relation to the taxation of a contractor, this Schedule shall prevail. (3) The rate of income tax applicable to a contractor is– (a) in the case of a resident company, thirty per cent; or (b) in the case of a non-resident company, thirty seven and a half per cent.",38cf4d69896e02120f5cc9a830840bd7165808af492a287f2f1a4b5627d53c88
